E,E,E,W,W,S,S,S,S,S,S,S,S,S,W,W,N,N,N,N,N,N,N
E,EN,ER,W,W,S,S,S,S,S,SN,S,S,S,W,W,N,N,N,N,N,N,N
E,E,E,W,W,SL,S,S,S,S,S,S,S,S,W,W,NL,N,N,NN,N,N,N
E,ED,E,W,W,S,S,S,S,S,S,S,S,S,W,W,N,N,N,N,N,N,N
W,W,W,W,W,W,W,W,S,S,SD,S,S,S,W,W,N,N,N,ND,N,N,N
W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
V,V,V,V,V,V,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
V,V,V,V,V,V,W,W,X,X,X,X,X,X,X,W,M,M,M,M,M,M,M
V,V,V,V,V,V,W,W,X,X,X,X,X,X,X,W,ML,M,M,MN,M,M,M
V,V,VN,V,V,VR,W,W,X,X,X,X,X,X,X,W,M,M,M,M,M,M,M
V,V,V,V,V,V,W,W,X,X,X,X,X,X,X,W,W,W,W,W,W,W,W
V,V,V,V,V,VD,W,W,X,X,X,X,X,X,X,W,P,P,P,W,U,U,U
V,V,V,V,V,W,W,W,X,X,X,X,X,X,X,W,PN,PD,P,W,U,U,U
W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,U,U,U
W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,U,U,U,U,U,U,U
J,J,JU,J,J,J,W,W,A,A,AU,AU,A,A,A,W,U,U,U,U,U,U,U
J,J,J,J,J,J,W,W,A,A,A,A,A,A,A,W,U,U,U,U,U,U,U
J,J,J,J,J,J,W,W,A,A,A,A,A,A,A,W,UL,U,U,U,UN,U,U
J,J,JN,J,J,J,W,W,A,A,A,AN,A,A,A,W,UL,U,U,U,U,U,U
J,J,J,J,J,JR,W,W,A,A,A,A,A,A,A,W,U,U,U,U,U,U,U
J,J,J,J,J,J,W,W,A,A,A,A,A,A,A,W,U,U,U,U,U,U,U
J,J,J,J,J,J,W,W,A,A,A,A,A,A,A,W,U,U,U,U,U,U,U
